*    FB  Tele Strip  Intertcept   	Slope
     1     2    22   -1.146376    0.00723039
     1     2    23   -1.244779    0.00743460
     1     2    24   -1.132419    0.00716838
     1     2    25   -1.162344    0.00738358
     1     2    26   -1.176894    0.00721221
     1     2    27   -1.291132    0.00735823
     1     2    28   -1.159003    0.00718200
     1     2    29   -1.257800    0.00741732
     1     2    30   -1.200010    0.00719981
     1     2    31   -1.146124    0.00731735
     1     3     0   -0.988746    0.00702505
     1     3     1   -1.111804    0.00712536
     1     3     2   -1.001801    0.00708058
     1     3     3   -1.158618    0.00711244
     1     3     4   -1.004257    0.00707940
     1     3     5   -1.188353    0.00706838
     1     3     6   -1.037892    0.00708030
     1     3     7   -1.143403    0.00705604
     1     3     8   -0.946597    0.00706558
     1     3     9   -1.247876    0.00706003
     1     3    10   -1.042743    0.00705639
     1     3    11   -1.070893    0.00711316
     1     3    12   -1.067566    0.00705722
     1     3    13   -1.044637    0.00705201
     1     3    14   -1.097147    0.00708953
     1     3    15   -1.164767    0.00708278
     1     3    16   -1.091728    0.00705929
     1     3    17   -1.097443    0.00713226
     1     3    18   -1.087889    0.00707940
     1     3    19   -1.213753    0.00709363
     1     3    20   -0.981604    0.00703581
     1     3    21   -1.057338    0.00707157
     1     3    22   -1.071285    0.00702781
     1     3    23   -1.132957    0.00702996
     1     3    24   -1.097456    0.00707094
     1     3    25   -1.081522    0.00708675
     1     3    26   -1.086819    0.00701274
     1     3    27   -1.077174    0.00706858
     1     3    28   -0.982065    0.00705138
     1     3    29   -1.165191    0.00708648
     1     3    30   -1.107607    0.00697134
     1     3    31   -1.225449    0.00709116
     1     4     0   -0.858767    0.00718711
     1     4     1   -0.928898    0.00727050
     1     4     2   -0.951782    0.00717812
     1     4     3   -1.117355    0.00725408
     1     4     4   -1.080066    0.00717676
     1     4     5   -1.113822    0.00724277
     1     4     6   -1.017458    0.00722821
     1     4     7   -1.053479    0.00724059
     1     4     8   -0.917836    0.00719143
     1     4     9   -1.133446    0.00722907
     1     4    10   -0.972690    0.00716229
     1     4    11   -1.140798    0.00720350
     1     4    12   -1.064380    0.00720497
     1     4    13   -1.083855    0.00721457
     1     4    14   -1.027723    0.00726020
     1     4    15   -1.132314    0.00725924
     1     4    16   -0.953770    0.00725810
     1     4    17   -1.161561    0.00729774
     1     4    18   -0.976963    0.00717046
     1     4    19   -1.117443    0.00728966
     1     4    20   -0.992063    0.00718740
     1     4    21   -1.124614    0.00722161
     1     4    22   -1.024247    0.00721178
     1     4    23   -1.081338    0.00722958
     1     4    24   -1.111865    0.00720901
     1     4    25   -1.135926    0.00721098
     1     4    26   -1.058297    0.00719859
     1     4    27   -1.107053    0.00721035
     1     4    28   -1.100632    0.00717569
     1     4    29   -1.180566    0.00720024
     1     4    30   -1.184413    0.00718930
     1     4    31   -1.119997    0.00719967
     1     5     0   -1.037854    0.00721065
     1     5     1   -1.211940    0.00714205
     1     5     2   -1.278583    0.00720064
     1     5     3   -1.134230    0.00705277
     1     5     4   -1.178838    0.00720380
